code,sector
00001,综合企业
00002,常规电力
00003,燃气供应
00004,地产发展商
00005,银行
00006,常规电力
00007,消费电子产品
00008,电讯服务
00009,地产发展商
00010,地产投资
00011,银行
00012,地产发展商
00013,药品
00014,地产投资
00016,地产发展商
00017,地产发展商
00018,出版
00019,综合企业
00020,应用软件
00021,地产发展商
00022,酒店及度假村
00023,银行
00025,综合企业
00026,地产投资
00027,赌场及博彩
00028,地产发展商
00029,地产投资
00030,食品添加剂
00031,航空航天与国防
00032,教育
00033,玩具及消闲用品
00034,地产发展商
00035,地产发展商
00036,地产投资
00037,地产投资
00038,重型机械
00039,超市及便利店
00040,消费电子产品
00041,地产投资
00042,工业零件及器材
00045,酒店及度假村
00046,系统开发及资讯科技顾问
00048,汽车零件
00050,地产投资
00051,酒店及度假村
00052,餐饮
00053,地产发展商
00055,印刷及包装
00057,工业零件及器材
00058,建筑材料
00059,地产发展商
00060,包装食品
00061,煤炭
00062,公共运输
00063,地产投资
00064,证券及经纪
00065,煤炭
00066,公共运输
00069,酒店及度假村
00070,综合企业
00071,地产投资
00072,出版
00073,农产品
00075,地产发展商
00076,工业零件及器材
00077,公共运输
00078,酒店及度假村
00079,综合企业
00080,投资及资产管理
00081,地产发展商
00082,游戏软件
00083,地产发展商
00084,其他零售商
00085,半导体
00086,信贷
00087,综合企业
00088,地产发展商
00089,地产投资
00090,非传统/可再生能源
00091,油气生产商
00092,非传统/可再生能源
00093,信贷
00094,林业及木材
00095,地产发展商
00096,工业零件及器材
00097,其他零售商
00098,铝
00099,电子零件
00100,数码解决方案服务
00101,地产投资
00102,赌场及博彩
00103,商业用车及货车
00104,其他零售商
00105,地产投资
00106,地产发展商
00107,铁路及公路
00108,物业服务及管理
00110,电讯设备
00111,投资及资产管理
00113,其他服饰配件
00114,玩具及消闲用品
00115,地产发展商
00116,其他零售商
00117,工业零件及器材
00118,工业零件及器材
00119,地产发展商
00120,地产发展商
00122,服装
00123,地产发展商
00124,地产发展商
00125,其他服饰配件
00126,餐饮
00127,地产投资
00128,服装零售商
00129,投资及资产管理
00130,服装
00131,地产投资
00132,综合企业
00133,投资及资产管理
00135,燃气供应
00136,影视娱乐
00137,航运及港口
00138,汽车零售商
00139,证券及经纪
00142,包装食品
00144,航运及港口
00145,其他支援服务
00146,纺织品及布料
00147,地产发展商
00148,工业零件及器材
00149,地产发展商
00150,广告及宣传
00151,包装食品
00152,铁路及公路
00154,环保工程
00156,餐饮
00157,其他零售商
00158,地产投资
00159,钢铁
00160,地产投资
00162,多元化零售商
00163,地产投资
00164,广告及宣传
00165,投资及资产管理
00166,其他金属及矿物
00167,消费电子产品
00168,酒精饮料
00169,酒店及度假村
00171,地产投资
00173,地产发展商
00174,地产投资
00175,汽车
00176,消费电子产品
00177,铁路及公路
00178,其他零售商
00179,汽车零件
00180,玩具及消闲用品
00181,酒店及度假村
00182,非传统/可再生能源
00183,地产发展商
00184,酒店及度假村
00185,地产发展商
00186,消费电子产品
00187,工业零件及器材
00188,其他金融
00189,特殊化工用品
00191,综合企业
00193,地产发展商
00194,地产投资
00195,其他金属及矿物
00196,油气设备与服务
00197,包装食品
00199,地产发展商
00200,赌场及博彩
00201,酒店及度假村
00202,综合企业
00204,投资及资产管理
00205,广告及宣传
00206,油气设备与服务
00207,地产发展商
00209,玩具及消闲用品
00210,鞋类
00211,证券及经纪
00212,地产投资
00213,工业零件及器材
00214,投资及资产管理
00215,电讯服务
00216,地产发展商
00217,其他金属及矿物
00218,证券及经纪
00219,酒店及度假村
00220,非酒精饮料
00222,保险
00223,个人护理
00224,地产投资
00225,地产投资
00226,餐饮
00227,证券及经纪
00228,油气生产商
00229,家庭电器
00230,地产发展商
00232,航空航天与国防
00234,信贷
00235,其他金属及矿物
00236,酒精饮料
00237,地产投资
00239,药品
00240,重型基建
00241,药品分销
00242,综合企业
00243,半导体设备与材料
00244,多元化零售商
00245,证券及经纪
00247,地产发展商
00248,电讯设备
00251,地产投资
00252,印刷及包装
00253,酒店及度假村
00254,旅游及观光
00255,工业零件及器材
00256,珠宝钟表
00257,非传统/可再生能源
00258,地产发展商
00259,消费电子产品
00260,信贷
00261,地产发展商
00262,地产发展商
00264,其他服饰配件
00265,物业服务及管理
00266,地产投资
00267,综合企业
00268,系统开发及资讯科技顾问
00269,铁路及公路
00270,水务
00271,地产投资
00272,地产发展商
00274,黄金及贵金属
00276,煤炭
00277,地产投资
00279,证券及经纪
00280,珠宝钟表
00285,电讯设备
00286,医疗及医学美容服务
00287,地产投资
00288,包装食品
00289,多元化零售商
00290,证券及经纪
00291,酒精饮料
00292,投资及资产管理
00293,航空服务
00294,服装
00295,非传统/可再生能源
00296,赌场及博彩
00297,化肥及农用化合物
00298,地产发展商
00299,地产发展商
00301,特殊化工用品
00302,游戏软件
00303,电讯设备
00305,汽车零件
00306,公共运输
00308,旅游及观光
00309,其他支援服务
00310,投资及资产管理
00311,服装
00312,多元化零售商
00313,地产发展商
00314,药品分销
00315,电讯服务
00316,航运及港口
00317,商业用车及货车
00318,系统开发及资讯科技顾问
00320,工业零件及器材
00321,纺织品及布料
00322,非酒精饮料
00323,钢铁
00325,玩具及消闲用品
00326,影视娱乐
00327,电子商贸及互联网服务
00328,电脑及周边器材
00329,证券及经纪
00330,服装
00331,楼宇建造
00332,油气生产商
00333,服装
00334,电脑及周边器材
00335,信贷
00336,食品添加剂
00337,地产发展商
00338,特殊化工用品
00339,投资及资产管理
00340,黄金及贵金属
00341,餐饮
00343,广告及宣传
00345,非酒精饮料
00346,油气生产商
00347,钢铁
00348,中医药
00351,航运及港口
00352,地产代理
00353,油气设备与服务
00354,系统开发及资讯科技顾问
00355,酒店及度假村
00356,投资及资产管理
00357,航空服务
00358,铜
00360,汽车零件
00361,玩具及消闲用品
